Sector,Gas,Activity,Additional aggregation,Category,Year,Emissions
Agriculture,CO2,Agriculture,,Histosol Cultivation ,1991,5158284.304
Agriculture,CO2,Agriculture,,Liming of Fields ,1991,45993.6369
Agriculture,CO2,Agriculture,,Urea Applications ,1991,204948.6684
Agriculture,CO,Energy,,Energy,1991,18339.6667
Agriculture,Biomass CO2,Biomass,,Ethanol,1991,6442.6103
Agriculture,Biomass CO2,Biomass,,Biodiesel,1991,0
Agriculture,Biomass CO2,Agriculture,,Prescribed Burn ,1991,0
Commercial,N2O,Energy,,Coal,1991,4.1331
Commercial,N2O,Energy,,Oil,1991,4.823
Residential,CO2,Energy,,Natural gas,1998,6559605.457
Commercial,N2O,Energy,,Other,1991,4.782
Commercial,N2O,other,,Medical Uses,1991,271.7883
Commercial,CH4,Energy,,Coal,1991,27.554
Commercial,CH4,Energy,,Oil,1991,86.5704
Industrial,CO2,Energy,,Natural gas,1997,6368422.359
Commercial,CH4,Energy,,Other,1991,358.2307
Commercial,CO2,Energy,,Coal,1991,261265.1809
Commercial,CO2,Energy,,Oil,1991,686643.0943
Industrial,CO2,Energy,,Natural gas,1995,6269979.456
Commercial,CO2,Energy,,Other,1991,0
Commercial,CO2,other,,Limestone use,1991,0
Commercial,CO2,other,,Solvent uses,1991,90332.9974
Commercial,CO,Energy,,Coal,1991,217.1667
Commercial,CO,Energy,,Oil,1991,249.55
Industrial,CO2,Energy,,Natural gas,2000,6262927.004
Commercial,CO,Energy,,Other,1991,45.6667
Commercial,Biomass CO2,Biomass,,Solid biomass,1991,145834.3807
Commercial,Biomass CO2,Biomass,,Liquid biofuels,1991,970.9084
Electricity Generation,N2O,Energy,,Coal,1991,268.3821
Electricity Generation,N2O,Energy,,Oil,1991,90.4933
Residential,CO2,Energy,,Natural gas,1990,6259773.461
Electricity Generation,N2O,Energy,,Other,1991,167.7915
Electricity Generation,N2O,Energy,,Energy-Net Electricity Imports,1991,163.259
Electricity Generation,CH4,Energy,,Coal,1991,211.1881
Electricity Generation,CH4,Energy,,Oil,1991,11.1929
Industrial,CO2,Energy,,Natural gas,1998,6211519.875
Electricity Generation,CH4,Energy,,Other,1991,22.2918
Electricity Generation,CH4,Energy,,Hydroelectric,1991,114.336
Electricity Generation,CH4,Energy,,Coal storage,1991,2258.7592
Electricity Generation,CH4,Energy,,Energy-Net Electricity Imports,1991,811.733
Electricity Generation,CO2,Energy,,Coal,1991,31205452.01
Electricity Generation,CO2,Energy,,Oil,1991,711201.4125
Industrial,CO2,Energy,,Natural gas,1999,6188205.984
Electricity Generation,CO2,Energy,,Other,1991,517797.0494
Electricity Generation,CO2,Energy,,FGD,1991,2962.3503
Electricity Generation,CO2,Energy,,Energy-Net Electricity Imports,1991,10030182.54
Electricity Generation,CO,Energy,,Coal,1991,5116.5194
Electricity Generation,CO,Energy,,Oil,1991,93.6569
Residential,CO2,other,,Sequestration in housing units,2009,-170473.0448
Electricity Generation,CO,Energy,,Other,1991,1149.9764
Electricity Generation,CO,Energy,,Energy-Net Electricity Imports,1991,2002.5393
Electricity Generation,SF6,Energy,,Energy,1991,24.0357
Electricity Generation,SF6,Energy,,Energy-Net Electricity Imports,1991,7.3075
Electricity Generation,Biomass CO2,Biomass,,Solid biomass,1991,1194693.816
Electricity Generation,Biomass CO2,Biomass,,Liquid biofuels,1991,0
Electricity Generation,Biomass CO2,Biomass,,Biogas,1991,0
Waste,N2O,Energy,Incinerated Waste,Waste Sector RDF (energy),1991,4.5139
Waste,N2O,Energy,Incinerated Waste,Waste Sector Mass Burn (energy),1991,3.1978
Waste,N2O,Energy,Incinerated Waste,Sludge Incineration (energy),1991,2.2621
Waste,N2O,Energy,Associated Incinerator Fuels,Bituminous coal,1991,0
Waste,N2O,Energy,Associated Incinerator Fuels,Wood,1991,0.6984
Waste,N2O,Energy,Associated Incinerator Fuels,Natural gas-steam,1991,0.6435
Waste,N2O,Energy,Associated Incinerator Fuels,Propane,1991,0.1195
Waste,N2O,Energy,Associated Incinerator Fuels,Distillate fuel oil-steam,1991,0.0092
Waste,N2O,Energy,Associated Incinerator Fuels,Natural gas-internal combustion engine,1991,0
Waste,N2O,Energy,Associated Incinerator Fuels,Distillate fuel oil-internal combustion,1991,0
Waste,N2O,Energy,Waste Processing,Landfill Operations (energy),1991,0.2172
Waste,N2O,Energy,Waste Processing,Yard Waste Preprocessing (energy),1991,0.0587
Waste,N2O,Energy,Waste Processing,MMSW Compost Preprocessing (energy),1991,0.0111
Waste,N2O,Energy,Waste Processing,MRF (energy),1991,0.1168
Waste,N2O,Energy,Waste Processing,RDF Processing (energy),1991,0.0603
Waste,N2O,Energy,Waste Processing,Incinerator Ash Disposal (energy),1991,0.0001
Waste,N2O,Energy,Waste Processing,Hazardous Waste (energy),1991,8.2315
Waste,N2O,Waste,,LFG Combustion/Flaring,1991,0
Waste,N2O,Waste,,Rural Open Burning,1991,14.094
Waste,N2O,Waste,,Medical Waste Incineration,1991,0.7569
Waste,N2O,Waste,,Misc. Industrial/Comm Waste Incineration,1991,13.6339
Waste,N2O,Waste,,Municipal Wastewater,1991,260.7292
Waste,N2O,Waste,,Biosolids Land Application,1991,34.4462
Waste,N2O,Waste,,MMSW Waste Composting ,1991,27.1421
Waste,CH4,Energy,Incinerated Waste,Waste Sector RDF (energy),1991,0.05
