Row number,Sector,Gas,Activity,Additional aggregation,Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
57,Electricity Generation,CH4,Energy,,Coal,213.47994,211.18806,210.46195,232.4498,229.34178,232.61428,235.97133,237.95384,249.41723,235.74948,257.40367,247.60803,276.80104,282.39204,275.74036,276.70105,278.89385,272.28052,255.42961,239.74617,223.6393
58,Electricity Generation,CH4,Energy,,Oil,8.97329,11.19292,11.77889,12.76664,13.25404,10.92983,12.87742,16.83201,13.65257,16.06387,16.14666,14.05024,12.26609,17.27431,15.40236,15.16354,10.1289,9.73492,5.76804,2.23515,1.33919
59,Electricity Generation,CH4,Energy,,Natural gas,49.73777,52.18203,33.22837,21.96497,26.9957,40.32421,30.95434,42.05566,74.33901,77.74096,69.67316,71.86645,74.32175,90.35682,48.92437,102.92858,122.43723,126.60357,85.28384,96.12221,138.93594
60,Electricity Generation,CH4,Energy,,Other,19.02807,22.2918,29.02219,38.1738,89.30722,207.04353,298.61164,296.75589,330.5612,299.31262,325.54659,317.14034,325.02237,385.84036,364.61673,278.96516,362.47005,455.36716,493.74609,678.7249,653.98974
61,Electricity Generation,CH4,Energy,,Hydroelectric,114.336,114.336,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472,212.40472
62,Electricity Generation,CH4,Energy,,Coal storage,2321.58956,2258.75923,2111.93443,2242.02519,2496.48134,2346.49035,2345.65466,2276.14475,2270.56216,2158.29711,2450.97042,2633.51475,2517.70007,3200.86478,2463.07547,2523.12084,2482.09192,2717.93151,2606.50648,2334.93837,2271.27632
63,Electricity Generation,CH4,Energy,,Energy-Net Electricity Imports,669.74501,811.73295,760.28024,636.92058,867.00354,998.5829,1149.76847,1190.05807,1102.81093,1120.19698,1149.37629,1450.08571,1059.47868,1228.69006,1188.20679,1090.14008,1237.64255,1380.48009,1373.88834,1302.82237,1356.6015
64,Electricity Generation,CO2,Energy,,Coal,31806676.81,31205452.01,30758039.01,33842221.37,33491547.26,33782840.05,34384033.74,34563714.67,35654458.34,34118033.08,37107166.59,36197905.1,39736245.39,40670337.15,39045675.27,39169293.62,38357368.49,37385279.66,36581405.55,33809548.52,32206057.64
65,Electricity Generation,CO2,Energy,,Oil,562291.3004,711201.4125,754063.7666,816526.4021,839740.6672,663322.752,810207.8979,1010867.333,825287.9013,964627.5546,956628.7469,818868.8389,757207.273,1045429.953,957602.9634,908661.6812,607692.7731,476137.2006,333693.9943,115440.0003,68666.28707
66,Electricity Generation,CO2,Energy,,Natural gas,485641.9568,553839.3508,506776.7275,401888.0253,566940.7423,813283.1916,568820.924,716005.3207,1210454.624,1470527.306,957642.8808,933457.2383,1268676.058,1282694.548,1080071.925,1769486.49,1927877.246,2463374.474,1679155.322,1772776.695,2405717.627
